Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;ödp Erststimmen;ödp Zweitstimmen;BüSo Erststimmen;BüSo Zweitstimmen;PBC Erststimmen;PBC Zweitstimmen;Die Tierschutzpartei Erststimmen;Die Tierschutzpartei Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;BGD Erststimmen;BGD Zweitstimmen;AUF Erststimmen;AUF Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;ddp Erststimmen;ddp Zweitstimmen;Freie Union Erststimmen;Freie Union Zweitstimmen;RENTNER Erststimmen;RENTNER Zweitstimmen;pro NRW Erststimmen;pro NRW Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;FBI/ Freie Wähler Erststimmen;FBI/ Freie Wähler Zweitstimmen;UAP Erststimmen;UAP Zweitstimmen;ÖkoLinX Erststimmen;ÖkoLinX Zweitstimmen;LD Erststimmen;LD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;DP Erststimmen;DP Zweitstimmen;Westfalen Erststimmen;Westfalen Zweitstimmen;SG - NRW Erststimmen;SG - NRW Zweitstimmen;Soziale Mitte Erststimmen;Soziale Mitte Zweitstimmen;Einzelbewerber / -innen Erststimmen;Einzelbewerber / -innen Zweitstimmen
0;Nordrhein-Westfalen;13267052;7870412;128457;109866;7741955;7760546;2983788;2681700;2980311;2675818;784826;941162;363895;522229;24685;55400;415241;435627;4876;23330;2770;7505;7164;3370;232;9416;5093;48099;8168;31758;473;9247;2987;5976;15;672;2402;5173;70610;121046;0;1422;576;1443;7098;38423;67310;107476;196;5968;2832;13863;1487;7787;512;6636;108;0;100;0;95;0;197;0;67;0;473;0;347;0;754;0;2267;-
1;Aachen I;85858;55063;639;523;54424;54540;18821;17666;19108;14810;8504;10918;2905;4053;-;203;2566;3012;-;89;-;54;87;31;-;36;-;243;-;130;-;90;-;27;-;4;-;20;1947;2304;-;3;-;13;-;118;486;428;-;37;-;188;-;35;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;Aachen II;90121;54093;811;649;53282;53444;21023;18072;18164;15625;7365;9357;1906;3369;-;288;3196;3465;-;105;-;34;212;54;-;24;-;294;-;131;-;79;-;21;-;4;-;10;1416;1637;-;5;-;7;-;195;-;429;-;37;-;138;-;32;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;Aachen III;116274;67283;1582;1250;65701;66033;24740;23104;26640;24248;5011;6138;2729;3930;-;480;3830;4146;1138;682;-;37;323;112;-;41;-;434;-;257;-;67;-;19;-;5;-;25;1290;1298;-;10;-;7;-;231;-;510;-;28;-;90;-;69;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;Aachen IV;111861;66717;1435;1131;65282;65586;26421;23903;25881;23477;5208;6102;2983;4330;-;690;3640;3758;-;236;-;60;-;26;-;45;-;409;-;228;-;86;-;33;-;9;-;22;1149;1098;-;6;-;13;-;259;-;569;-;29;-;61;-;75;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;Rhein-Erft-Kreis I;119128;75108;1376;1284;73732;73824;33842;27550;25463;23687;6290;7880;3026;5789;-;381;2828;3023;-;145;-;49;-;10;-;42;-;501;-;309;-;66;-;40;-;4;-;32;-;955;-;16;-;23;-;435;2283;2559;-;47;-;119;-;88;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6;Rhein-Erft-Kreis II;118782;72022;1435;1157;70587;70865;27889;25330;27769;23912;6602;8309;3454;4756;-;397;2984;3568;-;161;-;74;-;12;-;38;-;514;-;312;-;82;-;23;-;3;-;26;-;859;-;13;-;12;-;422;1694;1644;-;55;195;194;-;88;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
7;Rhein-Erft-Kreis III;104284;63835;1198;965;62637;62870;25150;22450;23320;20852;6225;7564;3301;4672;-;328;3178;3239;-;130;-;42;-;13;-;46;-;399;-;275;-;61;-;25;-;7;-;31;-;765;-;10;-;10;-;343;1311;1247;-;58;152;143;-;82;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
8;Euskirchen I;128418;73227;1754;1322;71473;71905;28799;28302;21796;18770;6563;7900;9058;8171;1213;817;4044;3913;-;170;-;78;-;23;-;82;-;582;-;429;-;65;-;48;-;5;-;38;-;925;-;21;-;11;-;423;-;814;-;98;-;34;-;123;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
9;Heinsberg I;90173;51492;1427;1219;50065;50273;26760;24299;12999;12612;4214;4271;2808;3340;-;567;3284;2826;-;142;-;29;-;13;-;18;-;378;-;258;-;47;-;26;-;4;-;36;-;598;-;10;-;3;-;297;-;311;-;35;-;32;-;62;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10;Heinsberg II;97316;54977;1256;998;53721;53979;25102;22541;16658;15517;5506;5309;3008;4051;-;516;3447;3089;-;198;-;43;-;21;-;59;-;394;-;297;-;67;-;51;-;4;-;32;-;704;-;15;-;7;-;330;-;516;-;40;-;56;-;64;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11;Düren I;102406;64336;1232;1108;63104;63228;27777;25026;22689;21015;4769;5504;2979;4214;1047;915;3045;3226;-;101;-;42;262;96;-;64;-;559;-;344;-;57;-;25;-;6;-;30;-;892;-;10;-;14;-;255;536;611;-;34;-;30;-;83;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12;Düren II - Euskirchen II;117844;67374;1515;1298;65859;66076;29810;27132;21485;19036;5901;6860;3318;5011;1132;945;3654;3813;-;81;-;31;-;24;-;90;-;468;-;322;-;58;-;41;-;12;-;34;-;899;-;11;-;11;-;320;559;616;-;56;-;56;-;97;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13;Köln I;119691;75843;766;665;75077;75178;23923;20560;22682;21013;18626;17998;3132;6351;-;200;3698;4767;-;63;-;102;145;36;-;41;-;409;-;129;-;201;-;33;-;4;-;22;1496;1512;-;13;91;27;-;237;1187;1102;-;119;-;139;-;59;-;41;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-
14;Köln II;105621;73610;605;509;73005;73101;27745;23831;23172;18370;13252;16629;3731;7398;-;98;2745;3265;-;50;-;103;106;38;-;38;-;294;-;150;-;127;-;26;-;2;-;15;1217;1268;-;15;68;31;-;182;969;937;-;76;-;68;-;46;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
15;Köln III;102083;60750;667;617;60083;60133;13210;12011;22639;19531;15151;16121;1645;2855;-;158;3788;4727;-;102;-;103;113;41;-;26;-;340;-;159;-;194;-;19;-;5;-;17;1333;1410;-;11;-;8;-;251;1800;1614;-;91;191;266;-;43;-;30;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-
16;Köln IV;95564;53434;745;648;52689;52786;18951;16333;18176;17830;7363;7620;2023;3198;-;282;3136;3241;-;106;-;42;161;43;-;26;-;274;-;143;-;72;-;34;-;6;-;26;-;681;-;17;81;30;612;486;1938;1864;-;43;248;303;-;53;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
17;Köln V;97904;56097;845;721;55252;55376;19958;17586;21404;18501;6096;7667;2548;3838;-;269;3090;3373;-;141;-;62;297;59;-;47;-;329;-;176;-;88;-;21;-;3;-;27;-;771;-;7;-;4;-;315;1859;1815;-;43;-;105;-;66;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
18;Köln VI;89350;49309;646;482;48663;48827;11679;11195;18160;15574;9766;11100;2681;3025;-;216;3564;4028;-;88;-;78;135;26;-;29;-;283;-;102;-;166;-;11;-;1;-;14;1199;1132;-;7;-;18;-;184;1479;1210;-;60;-;194;-;51;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
19;Köln VII;95126;51985;744;611;51241;51374;14580;13623;22191;18459;6566;8532;1880;2723;-;214;3005;3797;-;96;-;56;152;48;-;40;-;282;-;158;-;100;-;26;-;3;-;18;870;880;-;10;-;4;-;254;1902;1692;-;78;-;205;-;43;-;33;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-
20;Leverkusen;117905;68534;1396;1023;67138;67511;24657;21825;26177;23469;7277;8193;3201;4552;-;350;3592;3604;-;131;-;40;-;16;-;56;-;396;-;305;-;72;-;30;-;5;-;26;-;1071;-;9;-;9;-;375;2234;2596;-;43;-;217;-;53;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
