Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen insgesamt;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;FREIE WÄHLER Erststimmen;FREIE WÄHLER Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;FBI/FWG Erststimmen;FBI/FWG Zweitstimmen;ÖDP Erststimmen;ÖDP Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;TIERSCHUTZliste Erststimmen;TIERSCHUTZliste Zweitstimmen;AD-Demokraten NRW Erststimmen;AD-Demokraten NRW Zweitstimmen;AfD Erststimmen;AfD Zweitstimmen;AUFBRUCH C Erststimmen;AUFBRUCH C Zweitstimmen;BGE Erststimmen;BGE Zweitstimmen;DBD Erststimmen;DBD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;DIE RECHTE Erststimmen;DIE RECHTE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;JED Erststimmen;JED Zweitstimmen;MLPD Erststimmen;MLPD Zweitstimmen;PAN Erststimmen;PAN Zweitstimmen;Gesundheitsforschung Erststimmen;Gesundheitsforschung Zweitstimmen;PARTEILOSE WG „BRD“ Erststimmen;PARTEILOSE WG „BRD“ Zweitstimmen;Schöner Leben Erststimmen;Schöner Leben Zweitstimmen;V-Partei³ Erststimmen;V-Partei³ Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;LD Erststimmen;LD Zweitstimmen;LKR Erststimmen;LKR Zweitstimmen;Einzelbewerber/-in 1 Erststimmen;Einzelbewerber/-in 1 Zweitstimmen;Einzelbewerber/-in 2 Erststimmen;Einzelbewerber/-in 2 Zweitstimmen;Einzelbewerber/-innen Erststimmen;Einzelbewerber/-innen Zweitstimmen;Sonstige Erststimmen;Sonstige Zweitstimmen
000;Nordrhein-Westfalen;13164832;8579042;123111;91669;8455931;8487373;2919613;2649513;3242495;2797084;509648;539059;723866;1065209;118896;80939;414496;415808;;28933;25919;55019;8657;33114;;17455;;2891;7246;13325;2100;8486;;59681;;13653;460450;624552;2919;9814;;5279;;4731;2414;2906;1182;3332;1988;3618;1261;6586;;7171;;7039;2491;7712;;1347;;5944;633;2019;;5164;;9990;291;;99;;91;;;;;;9176;;;;
001;Aachen I;86227;61289;544;438;60745;60851;21939;16829;19888;16432;5715;7412;5400;9850;1267;894;3601;4514;;93;;662;;221;;61;;23;786;428;;63;;281;;43;2149;2506;;40;;59;;17;;23;;15;;11;;21;;52;;80;;54;;6;;23;;6;;34;;98;;;;;;;;;;;;;;;
002;Aachen II;90494;61633;1084;583;60549;61050;21103;17865;21670;17821;5215;6396;4521;8305;1040;795;3704;4529;;126;;506;;181;;114;;17;507;395;;39;;358;;83;2789;3071;;31;;54;;20;;19;;18;;14;;39;;44;;48;;41;;8;;15;;3;;20;;75;;;;;;;;;;;;;;;
003;Aachen III;116388;76549;1305;971;75244;75578;30121;28642;27240;23436;3089;3507;5826;8336;1225;744;2892;2968;;333;;270;;255;;145;;23;368;179;;82;;616;;128;4483;5356;;19;;33;;36;;9;;17;;25;;102;;77;;34;;32;;9;;44;;17;;41;;63;;;;;;;;;;;;;;;
004;Aachen IV;111118;74121;1031;883;73090;73238;28221;25877;27915;24339;3669;3526;5346;8768;979;632;2557;2764;;340;;307;;252;;59;;24;331;220;;60;;587;;71;4072;4940;;23;;32;;32;;5;;29;;18;;55;;56;;40;;22;;9;;44;;19;;25;;63;;;;;;;;;;;;;;;
005;Rhein-Erft-Kreis I;118547;80634;1237;895;79397;79739;28605;24600;31820;28099;3414;3891;6502;10791;1036;641;2754;2648;;284;;381;;341;;85;;42;;84;;92;;666;;85;4943;6468;;13;;52;;31;;5;;19;;28;;54;;59;;46;;22;;7;;64;;28;;37;;76;;;;;;;323;;;;;;;;
006;Rhein-Erft-Kreis II;121879;81147;1778;920;79369;80227;27111;25179;35097;27221;3748;4561;7332;10322;2139;780;3942;3463;;267;;495;;348;;113;;19;;99;;89;;616;;98;;5938;;31;;45;;40;;12;;25;;18;;49;;70;;54;;36;;16;;63;;13;;59;;88;;;;;;;;;;;;;;;
007;Rhein-Erft-Kreis III;104119;69787;1034;747;68753;69040;24094;20970;25498;23060;3421;4251;6497;9418;1021;574;2542;2883;;230;;403;949;442;;118;;9;;61;;74;;517;;63;4731;5452;;26;;41;;36;;10;;18;;15;;42;;61;;49;;31;;9;;43;;19;;42;;73;;;;;;;;;;;;;;;
008;Euskirchen I;124247;79261;1264;960;77997;78301;26080;21133;32343;30191;3601;3982;7776;10821;;588;3215;2867;;254;;370;;280;;43;;24;;89;;109;;611;;47;4982;6275;;50;;47;;31;;10;;25;;16;;42;;71;;54;;17;;12;;63;;26;;60;;93;;;;;;;;;;;;;;;
009;Heinsberg I;90552;58139;1000;961;57139;57178;15711;15926;28066;24808;2554;2568;4397;6006;710;522;1976;1953;;311;;237;870;458;;20;;10;;47;;43;;461;;47;2855;3441;;12;;21;;15;;5;;13;;14;;26;;37;;28;;28;;5;;35;;10;;22;;49;;;;;;;;;;;;;;;
